name,address,city
SOCAR 2,"Bakı şəh.,Sabunçu ray.,Sabunçu qəs.,ev.Sabunçu dairəsi yax-lığı, Bakı-Aeroport yolunun sağ tərəfi,1034",Bakı
Gallery 4 kids (2),NEFTCHILAR DIST.DANIZKANARI P.,Bakı
AYNUR İSTİRAHƏT ZONASI,QUBA.QƏÇRƏŞ YOLU,Quba
RAMSEY,NIZAMI STR. 50,Bakı
EUROMODA,H.JAVID AVE 71,Bakı
ENJOYMENT,S.RAHIMOV STR. 197/186,Bakı
KIP,BAKU.BINAQADI.M.K.ATATURK STR.60,Bakı
Euromoda SMM,BAKU.NƏSİMİ.R.BEHBUDOV STR.30,Bakı
MARINA YACHTING,U.HAJIBAYOV STR. 37/43,Bakı
FLO EHMEDLI,BAKU.XATAI.M.HADI STR.31M,Bakı
FAIK SONMEZ,BAKU.YASAMAL.H.CAVID PR.14,Bakı
FAIK SONMEZ,A.NEYMATULLA STR. METROPARK,Bakı
SATISH & SERVICE XIDMATI,"KHIRDALAN, ENTRANCE OF MASAZIR",Xırdalan şəhəri
SAGİ BAR,NƏSİMİ.U.HACIBAYOV STR.62.,Bakı
İNN SPA & GYM İDMAN ZALİ,NƏSİMİ.U.HACIBAYOV STR.62.,Bakı
HOLIDAY INN BAKU,NƏSİMİ.U.HACIBAYOV STR.62.,Bakı
HOLIDAY INN BAKU 1,NƏSİMİ.U.HACIBAYOV STR.62.,Bakı
HOLIDAY INN BAKU 2,NƏSİMİ.U.HACIBAYOV STR.62.,Bakı
HOLIDAY INN BAKU 3,NƏSİMİ.U.HACIBAYOV STR.62.,Bakı
IDEAL MAGAZA,28 MALL AVM,Bakı
IDEAL MAGAZA,PARK BULVAR AVM,Bakı
IDEAL MAGAZA,"SUMQAIT, SULH STR. 11J",Sumqayıt şəhəri
IDEAL MAGAZA,"NƏSİMİ, H.ALIYEV STR. 9",Bakı
IDEAL MAGAZA,"YASAMAL, AZERBAIJAN AVE. 23",Bakı
IDEAL MAGAZA,NAXÇIVAN MR.NAXÇIVAN ŞƏHƏRİ. HEYDƏR ƏLİYEV PR.34,Naxçıvan şəhəri
IDEAL MAGAZA,"NARIMANOV, A. NEYMATULLA STR. 42",Bakı
IDEAL KOMPANI,28 MALL AVM,Bakı
M.A.C,28 MALL,Bakı
IDEAL MAGAZA,28 MALL AVM,Bakı
SUMQAYIT 4,2 mkr. Nərimanov və Sülh küç.kəsişməsi,Sumqayıt şəhəri
Neftchiler 2,Q.Qarayev ev.74,Bakı
STATISTIKA,"YASAMAL, B.BAGHIROVA STR. 2 MAH. 615 GIRISH1",Bakı
EMBAWOOD 01,BAKI.NƏSİMİ.M.CƏFƏROV.5\15,Bakı
EMBAWOOD 02,BAKI.YASAMAL.ŞƏRİFZADƏ.181,Bakı
EMBAWOOD 03,BAKI.BINƏQƏDİ.AZADLIQ PR.187,Bakı
EMBAWOOD 05,BAKI.NƏSİMİ.R.BEHBUDOV.186 MƏH.,Bakı
EMBAWOOD 06,BAKI.NİZAMİ.BABƏK PR.53,Bakı
EMBAWOOD 07,BAKI.NƏRİMANOV.M.K.ATATÜRK.37A,Bakı
EMBAWOOD 08,BAKI.NƏRİMANOV.ƏHMƏD RƏCƏBLİ.19K,Bakı
EMBAWOOD 09,NİZAMİ.QARA QARAYEV PR.39\47,Bakı
EMBAWOOD 10,NİZAMİ.QARA QARAYEV PR.39,Bakı
EMBAWOOD 11,BAKI.XƏTAİ.MƏHƏMMƏD HADİ.63,Bakı
EMBAWOOD 14,GƏNCƏ ŞƏH.DOS-101.EV29,Gəncə şəhəri
EMBAWOOD 15,SUMQAYIT.2 MKR.N.NƏRİMANOV KÜÇ.,Sumqayıt şəhəri
NARIMANOV,"TABRIZ STR.,105/35 APT.,92",Bakı
ƏHMƏDLİ,"MAHAMMAD HADI STR.,41",Bakı
MEMAR AJAMI,"HUSEYNBALA ALIYEV 2 MK STR.,1",Bakı
LOKBATAN,"LOKBATAN, 20 DISTRICT STR.,1A",Bakı
HOVSAN,"YENI HOVSAN STR.,1",Bakı
BAKIXANOV,"BAKIXANOV STR.,4088",Bakı
AG SARAY,MINGACEVIR . KUR CAYININ SAGI,Mingəçevir şəhəri
AG SARAY,MINGACEVIR . KUR CAYININ SAGI,Mingəçevir şəhəri
ACCESORIZE SABAIL,"SABAIL, 6 NIZAMI STR",Bakı
MONSOON,28 MALL AVM,Bakı
Ayan-N,S.Dadaşov 17,Bakı
BENETTON,"NIZAMI STR.,56",Bakı
Four Seasons,Y.SAFAROV 25,Bakı
Sama 2,Ziya Bünyadov 23,Bakı
Mebel sexi,ZIGH AVE. 4,Bakı
Kafe Siti,I.SAFARLI STR. 1,Bakı
El Resort,"Ələsgər Qayıbov, məh 2138-2140",Qax
Favorit,"M.Naxçivani 15, qiriş 1",Bakı
Favorit,"M.Naxçivani 15, qiriş 1",Bakı
Magaza 74,2 B. SARDAROV STR.,Bakı
Stomotoloji KABINET,"H.SEYIDBAYLI STR 28,APT 2",Bakı
ASE ASYA AFRIKA,"U. HAJIBAYOV STR.,25",Bakı
MAGAZA 81,ZARDAB H. S. ABDULLAYEV STR 39,Göyçay
NAR GALLERY,"MIRZA SHAFI 19 APT.,1,2,3A,4,5,6",Bakı
KAFE,"SARAYEVO STR.,18G",Bakı
BADI SABA,"MOSCOW STR.,69A",Bakı
AZARI,"SH.MAMMADOVA STR.,1B",Bakı
BURATİNA,"NƏSİMİ, 28 MAY STR. 14",Bakı
MEBEL MAGAZASI,"NƏSİMİ, JAVADKHAN STR. 5MKR.",Bakı
MEBEL MAGAZASI,Q.QARAYEV AVE 51/57,Bakı
BEF 28,BAKI.NASİMİŞKŞXŞSAFARALİYEVA.5,Bakı
FABRIKA,"KHIRDALAN, SHEMAKHI H.2",Xırdalan şəhəri
MEBEL SATISHI,"TOVUZ, ALAKOL",Tovuz
SATISH & SERVICE XIDMATI,"KHIRDALAN, BAKU-SUMQAIT HW",Xırdalan şəhəri
FOTOXALCA,AZADLIQ AVE 148A APT 38,Bakı
INTEGRAL,28 MAY STR. 20,Bakı
BESTEL 1,FUZULI STR. 53,Bakı
BESTEL 3,S.VURGUN STR. 22,Bakı
BESTEL 4,ATATURK AVE 3078,Bakı
Luxen Dent,"NƏSİMİ, 34 KHATAI AVE",Bakı
CASPIAN    PAINT SUPPLY,"K.SAFARALIYEVA STR, 2",Bakı
CASPIAN    PAINT SUPPLY,A.ALIZADE STR. 29,Bakı
YENIMOTOR,"KHIRDALAN, BAKU-SUMQAIT HW",Xırdalan şəhəri
TOPSHOP.AZ,"YASAMAL, M.F.AKHUNDOV 152",Bakı
PARFUMSHOP.AZ,"NƏSİMİ, 152 B.SAFAROGHLU STR.",Bakı
OLIMPIK IDMAN VA ISTIRAHAT KOMP.,ABŞERON DISTR. NOVXANI,Abşeron rayonu
OLIMPIK IDMAN VA ISTIRAHAT KOMP.,ABŞERON DISTR. NOVXANI,Abşeron rayonu
OLIMPIK IDMAN VA ISTIRAHAT KOMP.,ABŞERON DISTR. NOVXANI,Abşeron rayonu
IDEAL KOMPANI,"YASAMAL, 528 H.JAVID AVE",Bakı
IDEAL KOMPANI,"YASAMAL, 528 H.JAVID AVE",Bakı
KING SPORT,22A A.MAHARRAMOV,Bakı
