id,name,slug,cashback,birbonus,umico_bonus,categories,cities,installments,max_taksit_month,payment_methods,is_bnpl,has_barcode,phone,website,instagram,facebook,voen,image_url,order,created_at,updated_at,published_at
18214,Birmarket,www.umico.az,,,,Elektronika və Texnika; Marketplace; Gözəllik salonu və sağlamlıq mərkəzi; Ev aksessuarları,,3; 6; 9; 12; 18; 24,,,,True,,https://birmarket.az/,https://www.instagram.com/birmarket.az?igsh=dm96bG9lc3J1aXVv,https://www.facebook.com/share/1VbaJje8P9/?mibextid=wwXIfr,1404106781,https://strapi-aws-s3-images-bucket-kb.s3.eu-central-1.amazonaws.com/Group_3_4e4f455508.png,1,2024-07-30T16:58:59.388Z,2025-12-14T11:43:10.407Z,2024-09-06T04:00:53.708Z
18218,Trendyol Azərbaycan,www-trendyol-com,,1,,Geyim; Elektronika və Texnika; Ev aksessuarları,,2; 3; 6,,,,,,https://trendyol.com/butik/liste/101496/az-rbaycan,https://www.instagram.com/trendyol.az/,,1406528091,https://strapi-aws-s3-images-bucket-kb.s3.eu-central-1.amazonaws.com/trendyol_e24d96102c.png,2,2024-07-31T12:14:02.082Z,2025-12-26T07:00:50.963Z,2024-07-31T12:15:43.289Z
19489,Yango,yango,,,,Avto,,,,,,True,,,,,2003320301,https://strapi-aws-s3-images-bucket-kb.s3.eu-central-1.amazonaws.com/thumbnail_517e960d46c54835ab76439cc4475f19_image_594cd0446a_e2dbda8c20.png,3,2026-01-08T11:42:51.275Z,2026-01-27T07:27:52.248Z,2026-01-08T12:28:15.606Z
18291,Azal,azal,,,,Turizm,,2; 3; 6,,,,,,https://www.azal.az/,https://www.instagram.com/azerbaijanairlines/,https://www.facebook.com/@AzerbaijanAirlines,9900000831,https://strapi-aws-s3-images-bucket-kb.s3.eu-central-1.amazonaws.com/AZAL_Logo_AZ_for_light_background_28929bb51e.png,4,2025-02-13T14:06:54.586Z,2025-12-12T08:34:47.755Z,2025-02-13T14:07:18.516Z
18059,Kontakt Home,kon-1,,,,Elektronika və Texnika,,2; 3; 6; 12; 18,,,,,508286060,https://www.kontakt.az,https://www.instagram.com/kontakt_home/?hl=en,https://www.facebook.com/Kontakthome,1401005061,https://strapi-aws-s3-images-bucket-kb.s3.eu-central-1.amazonaws.com/Container_Yes_fb75cadc3a.png,4,2023-10-19T12:28:33.385Z,2026-01-05T06:24:18.759Z,2023-10-19T12:28:34.780Z
34,Aplus,aplus,,1,,Supermarket,,,,,,True,,,https://instagram.com/aplus.az?igshid=YmMyMTA2M2Y=,,1804096081,https://strapi-aws-s3-images-bucket-kb.s3.eu-central-1.amazonaws.com/Aplus_cb7cfed43b.png,4,,2026-02-12T12:20:30.580Z,2025-10-09T17:51:16.943Z
19443,Bravo,bravo-2,,1,,Supermarket,,,,,,True,,https://www.bravosupermarket.az/,https://www.instagram.com/bravosupermarketaz/,https://www.facebook.com/BravoSupermarketAz/,1403051411,https://strapi-aws-s3-images-bucket-kb.s3.eu-central-1.amazonaws.com/Bravo_266029a2cf.png,4,2025-12-24T11:53:11.477Z,2026-02-12T11:08:36.792Z,2026-01-21T10:07:20.405Z
18109,Eurolux,eurolux,,2,,Məişət əşyaları,,2; 3; 6; 9; 12; 18,,,,,,,https://www.instagram.com/eurolux.az/?hl=en,,2700081402,https://strapi-aws-s3-images-bucket-kb.s3.eu-central-1.amazonaws.com/Container_Yes_eb3febcd42.png,5,2023-10-19T15:45:21.816Z,2025-05-21T11:13:12.487Z,2023-10-19T15:45:23.356Z
18211,1Fit,1fit.app.az,,,,"Membership Clubs (Sports, Recreation, Athletic), Country Clubs, and Private Golf Courses and other similar services.",,3; 6; 9; 12; 18,,,True,,,,,,1605204521,https://strapi-aws-s3-images-bucket-kb.s3.eu-central-1.amazonaws.com/1fit_d8e5b6f11f.png,5,2024-07-18T06:37:38.773Z,2025-10-31T07:00:13.017Z,2025-04-28T05:39:09.456Z
18243,TAMBURA Restoran,tambura-restoran,3,3,,Restoran,,,,,,,,,,,0000000000,https://strapi-aws-s3-images-bucket-kb.s3.eu-central-1.amazonaws.com/tl_page_0001_e7341e7307.png,6,2024-09-27T13:56:37.432Z,2025-12-10T13:05:56.450Z,2024-09-27T13:56:38.875Z
