id,name_az,name_en,name_ru,description_az,description_en,description_ru,phone_number,site_url,cashback,category_id,category_az,category_en,category_ru,social_medias,cities_count,taksits,icon_url,logo_url,status,order_number,is_new,at_home,popularity,hidden,insert_date,branches_count,home_no,whatsapp_link
5991,Adidas,Adidas,Adidas,,,,"(012) 598 71 45, (050) 275 93 47",https://www.adishop.az/,0.0,194,İdman malları,İdman malları,İdman malları,facebook:https://www.facebook.com/adidasazerbaijan; instagram:https://www.instagram.com/adidasazerbaijan_/,1,1; 3; 6,,,True,11,False,,1,False,,0,,
5992,Adore,Adore,Adore,"Keşbek yalnız Bank of Baku POS terminallarında keçərlidir.
",,,(012) 970,https://adorebeauty.az/,1.5,184,Parfümeriya və kosmetika,Parfümeriya və kosmetika,Parfümeriya və kosmetika,facebook:https://www.instagram.com/sabina_perfumery_cosmetics/; instagram:https://www.facebook.com/sabina.perfumery,2,1; 3; 6,https://peakapp.bankofbaku.com/api/backend-partner-service/mono-files/13_1708170238880.png,https://peakapp.bankofbaku.com/api/backend-partner-service/mono-files/13_1708170238880.png,True,12,False,True,1,False,,0,,
6044,Baku Electronics,Baku Electronics,Baku Electronics,,,,(012) 143,https://www.bakuelectronics.az/,0.0,182,Elektronika,Elektronika,Elektronika,facebook:https://www.facebook.com/bakuelectronics.mmc/; instagram:https://www.instagram.com/bakuelectronics.az/?hl=en,15,1; 3; 6; 12; 18; 24,https://peakapp.bankofbaku.com/api/backend-partner-service/mono-files/5_1708170544306.png,https://peakapp.bankofbaku.com/api/backend-partner-service/mono-files/5_1708170544306.png,True,64,False,True,1,False,,0,,
6054,Bebe,Bebe,Bebe,,,,"(012) 598 71 50, (050) 275 93 18",https://mybrands.az/qadinlar/geyim/bebe-3,0.0,181,Geyim,Geyim,Geyim,facebook:https://www.facebook.com/mybrands.az/; instagram:https://www.instagram.com/bebe.baku/?hl=en,1,1; 3; 6,,,True,74,False,,1,False,,0,,
6056,Benetton,Benetton,Benetton,,,,*0114,https://mybrands.az/men/clothing-1/united-colors-of-benetton-1,0.0,181,Geyim,Geyim,Geyim,facebook:https://www.facebook.com/BenettonBaku/; instagram:https://www.instagram.com/benetton.baku/,1,1; 3; 6,https://peakapp.bankofbaku.com/api/backend-partner-service/mono-files/12_1708170261251.png,https://peakapp.bankofbaku.com/api/backend-partner-service/mono-files/12_1708170261251.png,True,76,False,True,1,False,,0,,
6080,Bytelecom,Bytelecom,Bytelecom,,,,*2777,https://bytelecom.az/,0.0,182,Elektronika,Elektronika,Elektronika,facebook:https://www.facebook.com/bytelecom.baku/; instagram:https://www.instagram.com/bytelecom/,1,1; 3; 6; 9; 12; 18; 24,,,True,100,False,,1,False,,0,,
6086,Casio,Casio,Casio,,,,(051) 587 20 20,,0.0,187,Saat və aksessuarlar,Saat və aksessuarlar,Saat və aksessuarlar,facebook:https://www.facebook.com/p/CASIO-Watches-Azerbaijan-100062495514361/; instagram:https://www.instagram.com/casio_watches_azerbaijan/?hl=en,1,1; 3; 6; 9; 12,,,True,106,False,,1,False,,0,,
6102,Courir,Courir,Courir,,,,(050) 295 18 51,https://courir.az/,0.0,194,İdman malları,İdman malları,İdman malları,facebook:https://www.facebook.com/courirbaku; instagram:https://www.instagram.com/courirbaku/,1,1,,,True,122,False,,1,False,,0,,
6123,Doğtaş,Doğtaş,Doğtaş,,,,(055) 909 53 33,,2.0,188,Mebel,Mebel,Mebel,,1,1; 2; 3; 6; 9; 12,,,True,143,False,,1,False,,0,,
6143,Elit Optimal,Elit Optimal,Elit Optimal,,,,*4848,https://www.elitoptimal.az/,5.0,182,Elektronika,Elektronika,Elektronika,facebook:https://www.facebook.com/ElitOptimal.az/; instagram:https://www.instagram.com/elit_optimal/?hl=en,21,1; 3; 6; 12; 18; 24,https://peakapp.bankofbaku.com/api/backend-partner-service/mono-files/elit optimal sayt logo-21.05.2024_1716286249434.png,https://peakapp.bankofbaku.com/api/backend-partner-service/mono-files/elit optimal sayt logo-21.05.2024_1716286249434.png,True,163,False,True,1,False,,0,,
6148,Embawood,Embawood,Embawood,,,,(012) 126,https://embawood.az/,0.0,188,Mebel,Mebel,Mebel,facebook: https://www.facebook.com/embawood/; instagram: https://www.instagram.com/embawood/?hl=en,5,1; 3; 6; 12; 18; 24,https://peakapp.bankofbaku.com/api/backend-partner-service/mono-files/4_1708170578932.png,https://peakapp.bankofbaku.com/api/backend-partner-service/mono-files/4_1708170578932.png,True,168,False,True,1,False,,0,,
6151,Emsan,Emsan,Emsan,,,,(077) 342 24 01 (012) 342 02 22,https://emsan.com.az/,0.0,190,Ev aksessuarları,Ev aksessuarları,Ev aksessuarları,facebook:https://www.facebook.com/emsanazerbaycan/; instagram:https://www.instagram.com/emsan_azerbaycan/?hl=en,2,1; 3; 6; 9; 12; 18; 24,,,True,171,False,,1,False,,0,,
6176,Flo,Flo,Flo,,,,(055) 225 75 11,https://flostore.az/,0.0,185,Ayaqqabı,Ayaqqabı,Ayaqqabı,facebook:https://www.facebook.com/floazerbaijan/; instagram:https://www.instagram.com/floshoes.az/?hl=en,3,1; 3; 6,https://peakapp.bankofbaku.com/api/backend-partner-service/mono-files/10_1708170282479.png,https://peakapp.bankofbaku.com/api/backend-partner-service/mono-files/10_1708170282479.png,True,196,False,True,1,False,,0,,
6198,Go Sport,Go Sport,Go Sport,,,,(012) 599 19 73,,0.0,194,İdman malları,İdman malları,İdman malları,,2,1,https://peakapp.bankofbaku.com/api/backend-partner-service/mono-files/9_1708170450948.png,https://peakapp.bankofbaku.com/api/backend-partner-service/mono-files/9_1708170450948.png,True,218,False,True,1,False,,0,,
6228,Hyundai,Hyundai,Hyundai,,,,(012) 989,https://www.hyundai.az/,0.0,196,"Avtomobil, ehtiyyat hissələri və servis","Avtomobil, ehtiyyat hissələri və servis","Avtomobil, ehtiyyat hissələri və servis",facebook:https://www.facebook.com/HyundaiAzerbaijan; instagram:https://www.instagram.com/hyundaiazerbaijan/,2,1; 3; 6; 9,,,True,248,False,,1,False,,0,,
6236,Xtravaganza,Xtravaganza,Xtravaganza,,,,(012) 599 15 51,,0.0,187,Saat və aksessuarlar,Saat və aksessuarlar,Saat və aksessuarlar,,1,1; 2; 3; 6; 12,,,True,256,False,,1,False,,0,,
6284,Kontakt Home,Kontakt Home,Kontakt Home,,,,*6060,https://kontakt.az/,0.0,182,Elektronika,Elektronika,Elektronika,facebook:https://www.facebook.com/Kontakthome/; instagram:https://www.instagram.com/kontakt_home/?hl=en/,20,1; 3; 6; 12; 18,https://peakapp.bankofbaku.com/api/backend-partner-service/mono-files/7_1708170395649.png,https://peakapp.bankofbaku.com/api/backend-partner-service/mono-files/7_1708170395649.png,True,304,False,True,1,False,,0,,
6306,Lc Waikiki,Lc Waikiki,Lc Waikiki,,,,(050) 254 93 00,,0.0,181,Geyim,Geyim,Geyim,facebook: https://www.facebook.com/LCWaikikiAzerbaycan/; instagram:https://www.instagram.com/lcwaikikiaz/,8,1; 2; 3,https://peakapp.bankofbaku.com/api/backend-partner-service/mono-files/6_1708170431214.png,https://peakapp.bankofbaku.com/api/backend-partner-service/mono-files/6_1708170431214.png,True,326,False,True,1,False,,0,,
6382,Music Gallery,Music Gallery,Music Gallery,,,,*1313,https://www.mgstore.az/,0.0,182,Elektronika,Elektronika,Elektronika,facebook:https://www.facebook.com/mgstore.az/; instagram:https://www.instagram.com/mgstore.az/,3,1; 3; 6; 12; 18; 24,,,True,402,False,,1,False,,0,,
6429,Penti,Penti,Penti,,,,(050) 254 93 00,,0.0,181,Geyim,Geyim,Geyim,instagram:https://www.instagram.com/penti_azerbaijan/?hl=en; facebook:https://www.facebook.com/pentiazerbaijan/?locale=az_AZ,3,1; 2; 3,,,True,449,False,,1,False,,0,,
6521,Swarovski,Swarovski,Swarovski,,,,(012) 599 15 53,,0.0,187,Saat və aksessuarlar,Saat və aksessuarlar,Saat və aksessuarlar,instagram:https://www.instagram.com/swarovski_retailer_azerbaijan/?hl=en,1,1; 2; 3; 6; 12,,,True,541,False,,1,False,,0,,
6546,Tommy Hilfiger,Tommy Hilfiger,Tommy Hilfiger,,,,(012) 404 88 41,https://mybrands.az/men/clothing-1/tommy-hilfiger-1,0.0,181,Geyim,Geyim,Geyim,Feysbuk:https://www.facebook.com/mybrands.az/; Instagram:https://www.instagram.com/th_baku/?hl=en,1,1; 3; 6,,https://peakapp.bankofbaku.com/api/backend-partner-service/mono-files/Tommy-Hilfiger_1756476068833.png,True,566,False,True,1,False,,0,2,
6561,United Coffee Beans,United Coffee Beans,United Coffee Beans,,,,(050) 505 11 25,https://www.ucb.az/az,5.0,183,Restoran və kafelər,Restoran və kafelər,Restoran və kafelər,facebook:https://www.facebook.com/unitedcoffeebeans/; instagram:https://www.instagram.com/unitedcoffeebeans/,1,1,,,True,581,False,,1,False,,0,,
6574,Vmf,Vmf,Vmf,,,,(050 ) 257 80 32,https://www.vmf.az/,0.0,187,Saat və aksessuarlar,Saat və aksessuarlar,Saat və aksessuarlar,facebook:https://www.facebook.com/vmf.onlayn; instagram:https://www.instagram.com/vmfonline.az/,2,1; 3; 6; 12; 18,,,True,594,False,,1,False,,0,,
6584,World Telecom,World Telecom,World Telecom,,,,"*2555 , (050) 255 55 55",https://www.w-t.az/az,0.0,182,Elektronika,Elektronika,Elektronika,facebook:https://www.facebook.com/wtelecom; instagram:https://www.instagram.com/worldtelecom,2,1; 3; 6; 9; 12; 18; 24,https://peakapp.bankofbaku.com/api/backend-partner-service/mono-files/3_1708170509678.png,https://peakapp.bankofbaku.com/api/backend-partner-service/mono-files/3_1708170509678.png,True,604,False,True,1,False,,0,,
6586,W-T.Az,W-T.Az,W-T.Az,,,,,https://www.w-t.az/az,0.0,191,İnternet mağaza,İnternet mağaza,İnternet mağaza,facebook:https://www.facebook.com/wtelecom; instagram:https://www.instagram.com/worldtelecom,1,1; 3; 6; 9; 12; 18; 24,,,True,606,False,,1,False,,0,,
6590,Www.BakuElectronics.Az ,Www.BakuElectronics.Az ,Www.BakuElectronics.Az ,,,,(012) 143,Www.BakuElectronics.Az ,3.0,191,İnternet mağaza,İnternet mağaza,İnternet mağaza,,1,1; 6; 12; 18; 24,,,True,610,False,,1,False,,0,,
6594,Www.ElitOptimal.Az,Www.ElitOptimal.Az,Www.ElitOptimal.Az,,,,,https://www.elitoptimal.az/,0.0,182,Elektronika,Elektronika,Elektronika,facebook:https://www.facebook.com/ElitOptimal.az/; instagram:https://www.instagram.com/elit_optimal/?hl=en,1,1; 3; 6; 12; 18; 24,,,True,614,False,,1,False,,0,,
