source,id,name,category,cashback,reward_type,taksit_months,city,address,phone,website,image_url
bolkart,5991,Adidas,İdman malları,0.0,taksit_only,1; 3; 6,,,"(012) 598 71 45, (050) 275 93 47",https://www.adishop.az/,
bolkart,5992,Adore,Parfümeriya və kosmetika,1.5,cashback,1; 3; 6,,,(012) 970,https://adorebeauty.az/,https://peakapp.bankofbaku.com/api/backend-partner-service/mono-files/13_1708170238880.png
bolkart,6044,Baku Electronics,Elektronika,0.0,taksit_only,1; 3; 6; 12; 18; 24,,,(012) 143,https://www.bakuelectronics.az/,https://peakapp.bankofbaku.com/api/backend-partner-service/mono-files/5_1708170544306.png
bolkart,6054,Bebe,Geyim,0.0,taksit_only,1; 3; 6,,,"(012) 598 71 50, (050) 275 93 18",https://mybrands.az/qadinlar/geyim/bebe-3,
bolkart,6056,Benetton,Geyim,0.0,taksit_only,1; 3; 6,,,*0114,https://mybrands.az/men/clothing-1/united-colors-of-benetton-1,https://peakapp.bankofbaku.com/api/backend-partner-service/mono-files/12_1708170261251.png
bolkart,6080,Bytelecom,Elektronika,0.0,taksit_only,1; 3; 6; 9; 12; 18; 24,,,*2777,https://bytelecom.az/,
bolkart,6086,Casio,Saat və aksessuarlar,0.0,taksit_only,1; 3; 6; 9; 12,,,(051) 587 20 20,,
bolkart,6102,Courir,İdman malları,0.0,taksit_only,1,,,(050) 295 18 51,https://courir.az/,
bolkart,6123,Doğtaş,Mebel,2.0,cashback,1; 2; 3; 6; 9; 12,,,(055) 909 53 33,,
bolkart,6143,Elit Optimal,Elektronika,5.0,cashback,1; 3; 6; 12; 18; 24,,,*4848,https://www.elitoptimal.az/,https://peakapp.bankofbaku.com/api/backend-partner-service/mono-files/elit optimal sayt logo-21.05.2024_1716286249434.png
bolkart,6148,Embawood,Mebel,0.0,taksit_only,1; 3; 6; 12; 18; 24,,,(012) 126,https://embawood.az/,https://peakapp.bankofbaku.com/api/backend-partner-service/mono-files/4_1708170578932.png
bolkart,6151,Emsan,Ev aksessuarları,0.0,taksit_only,1; 3; 6; 9; 12; 18; 24,,,(077) 342 24 01 (012) 342 02 22,https://emsan.com.az/,
bolkart,6176,Flo,Ayaqqabı,0.0,taksit_only,1; 3; 6,,,(055) 225 75 11,https://flostore.az/,https://peakapp.bankofbaku.com/api/backend-partner-service/mono-files/10_1708170282479.png
bolkart,6198,Go Sport,İdman malları,0.0,taksit_only,1,,,(012) 599 19 73,,https://peakapp.bankofbaku.com/api/backend-partner-service/mono-files/9_1708170450948.png
bolkart,6228,Hyundai,"Avtomobil, ehtiyyat hissələri və servis",0.0,taksit_only,1; 3; 6; 9,,,(012) 989,https://www.hyundai.az/,
bolkart,6236,Xtravaganza,Saat və aksessuarlar,0.0,taksit_only,1; 2; 3; 6; 12,,,(012) 599 15 51,,
bolkart,6284,Kontakt Home,Elektronika,0.0,taksit_only,1; 3; 6; 12; 18,,,*6060,https://kontakt.az/,https://peakapp.bankofbaku.com/api/backend-partner-service/mono-files/7_1708170395649.png
bolkart,6306,Lc Waikiki,Geyim,0.0,taksit_only,1; 2; 3,,,(050) 254 93 00,,https://peakapp.bankofbaku.com/api/backend-partner-service/mono-files/6_1708170431214.png
bolkart,6382,Music Gallery,Elektronika,0.0,taksit_only,1; 3; 6; 12; 18; 24,,,*1313,https://www.mgstore.az/,
bolkart,6429,Penti,Geyim,0.0,taksit_only,1; 2; 3,,,(050) 254 93 00,,
bolkart,6521,Swarovski,Saat və aksessuarlar,0.0,taksit_only,1; 2; 3; 6; 12,,,(012) 599 15 53,,
bolkart,6546,Tommy Hilfiger,Geyim,0.0,taksit_only,1; 3; 6,,,(012) 404 88 41,https://mybrands.az/men/clothing-1/tommy-hilfiger-1,https://peakapp.bankofbaku.com/api/backend-partner-service/mono-files/Tommy-Hilfiger_1756476068833.png
bolkart,6561,United Coffee Beans,Restoran və kafelər,5.0,cashback,1,,,(050) 505 11 25,https://www.ucb.az/az,
bolkart,6574,Vmf,Saat və aksessuarlar,0.0,taksit_only,1; 3; 6; 12; 18,,,(050 ) 257 80 32,https://www.vmf.az/,
bolkart,6584,World Telecom,Elektronika,0.0,taksit_only,1; 3; 6; 9; 12; 18; 24,,,"*2555 , (050) 255 55 55",https://www.w-t.az/az,https://peakapp.bankofbaku.com/api/backend-partner-service/mono-files/3_1708170509678.png
bolkart,6586,W-T.Az,İnternet mağaza,0.0,taksit_only,1; 3; 6; 9; 12; 18; 24,,,,https://www.w-t.az/az,
bolkart,6590,Www.BakuElectronics.Az,İnternet mağaza,3.0,cashback,1; 6; 12; 18; 24,,,(012) 143,Www.BakuElectronics.Az,
bolkart,6594,Www.ElitOptimal.Az,Elektronika,0.0,taksit_only,1; 3; 6; 12; 18; 24,,,,https://www.elitoptimal.az/,
bolkart,71,İstikbal,Mebel,0.0,taksit_only,1; 3; 6; 9; 12; 18,,,(050) 289 56 91,https://istikbal.com.az/,
bolkart,73,Bellona,Mebel,0.0,taksit_only,1; 3; 6; 9; 12; 18,,,(050) 289 56 93,https://bellona.com.az/,
bolkart,78,Fransua,Un məmulatlarının satışı,0.0,taksit_only,1,,,(055) 534 05 04,,
bolkart,80,Kia Motors,"Avtomobil, ehtiyyat hissələri və servis",0.0,taksit_only,1,,,(050/051/055/070) 303 60 60,,
bolkart,91,Cook Shop,Restoran və kafelər,5.0,cashback,1,,,(070) 888 25 25,,
bolkart,97,Dalğa Beach,İstirahət və əyləncə,0.0,taksit_only,1,,,(051) 829 58 32 / (051) 829 57 83,,
bolkart,124,AZAL,Turizm,0.0,taksit_only,1; 3,,,,,
bolkart,126,Şassi,"Avtomobil, ehtiyyat hissələri və servis",0.0,taksit_only,1; 3; 6; 9; 12,,,,,
bolkart,5989,Accessorize,Saat və aksessuarlar,0.0,taksit_only,1; 3; 6,,,(050) 275 93 45,https://mybrands.az/women/accessories-bags-1/monsoon-accessorize-1,
bolkart,6000,Akabe,Təmir və tikinti,0.0,taksit_only,1; 3; 6; 12,,,"(012) 1823 , (012) 412 23 00",https://akabe.az/,
bolkart,6005,Almalı.Az,Elektronika,0.0,taksit_only,1; 2; 3; 6; 12; 18; 24,,,"(012) 489 08 88, (055) 561 35 35",https://almali.store/,
bolkart,6006,Alneo,Elektronika,0.0,taksit_only,1; 3; 6; 12,,,(055) 225 09 18,https://www.alneo.az/,
bolkart,6015,Askona,Mebel,0.0,taksit_only,1; 3; 6; 9; 12; 18,,,(055) 355 57 77,https://askonalife.az/,
bolkart,6032,Avtopark Baku,"Avtomobil, ehtiyyat hissələri və servis",0.0,taksit_only,1; 3; 6,,,(055) 229 71 71,,
bolkart,6055,Bee Gross,Supermarket,0.0,taksit_only,1,,,(012) 597 39 09,,
bolkart,6058,Bestcomp,Elektronika,3.0,cashback,1; 3; 6; 12,,,"(012) 436 30 46, (012) 436 29 61",https://bestel.az/,
bolkart,6067,Botelli,Geyim,2.0,cashback,1,,,(055) 333 48 63,,
bolkart,6081,Bytelecom.Az,İnternet mağaza,0.0,taksit_only,1; 3; 6; 9; 12; 18; 24,,,*2777,https://bytelecom.az/,
bolkart,6084,Calvin Klein,Geyim,0.0,taksit_only,1; 3; 6,,,*0114,https://mybrands.az/men/clothing-1/calvin-klein-1,
bolkart,6097,Coccineli,Geyim,0.0,taksit_only,1; 3; 6,,,"(012) 598 71 65, (050) 275 93 78",,
bolkart,6098,Coffeemania,Restoran və kafelər,5.0,cashback,1,,,(050) 260 80 40,,
bolkart,6099,Coin Casa,Ev aksessuarları,0.0,taksit_only,1; 2; 3; 6; 12,,,"(012) 599 15 55 , (051) 599 15 55",https://catalog.italdizain.az/kataloq/brands/coincasa/,
bolkart,6109,D&P,Parfümeriya və kosmetika,0.0,taksit_only,1; 3; 6; 12,,,(050) 809 59 59,,
bolkart,6125,Dosttech,Elektronika,3.0,cashback,1; 3; 6; 12,,,*1221,,
bolkart,6157,Eurolux,Elektronika,0.0,taksit_only,1; 2; 3; 6; 9; 12; 18; 24,,,*3388,https://eurolux.az/,
bolkart,6167,Əli Və Nino,Dəftərxana,0.0,taksit_only,1,,,(012) 404 88 17,,
bolkart,6183,Forte Fashion,Geyim,0.0,taksit_only,1; 3; 6,,,"(050) 369 00 60, (018) 654 33 63",http://forte.az/,
bolkart,6184,Forte Kids,Uşaqlar üçün,0.0,taksit_only,1; 3; 6,,,"(050) 369 00 60, (018) 654 33 63",http://forte.az/,
bolkart,6202,Golden Rose,Parfümeriya və kosmetika,0.0,taksit_only,1,,,(012) 599 15 34,,
bolkart,6207,G-Shock,Saat və aksessuarlar,0.0,taksit_only,1; 3; 6; 12,,,(055) 709 89 89,,
bolkart,6222,Homme,Ev aksessuarları,0.0,taksit_only,1; 3; 6; 12,,,(051) 207 97 72,https://www.hom-me.com/,
bolkart,6267,Kelebek,Mebel,2.0,cashback,1; 2; 3; 6; 9; 12,,,"(012) 564 22 60,  (055) 909 53 32",,
bolkart,6304,Las Vegas,Geyim,0.0,taksit_only,1; 2; 3; 6,,,(051) 311 11 40,,
bolkart,6318,Liu Jo,Geyim,0.0,taksit_only,1; 3; 6,,,"(012) 404 88 63, (050) 251 51 86",https://mybrands.az/zenshhiny/odezda/liu-jo-2,
bolkart,6321,L'Occitane,Parfümeriya və kosmetika,0.0,taksit_only,1,,,(055) 551 76 23,https://az.loccitane.com/,
bolkart,6323,Longines,Saat və aksessuarlar,0.0,taksit_only,1; 3; 6; 12; 18,,,(024) 244 41 74,https://www.vmf.az/,
bolkart,6329,Lucky Art,Ev aksessuarları,0.0,taksit_only,1; 2; 3; 6,,,"(055) 410 11 20 , (055) 910 11 20",,
bolkart,6333,Madeyra,Mebel,0.0,taksit_only,1; 3; 6; 12,,,*9696,,
bolkart,6343,Marquise,Saat və aksessuarlar,0.0,taksit_only,1,,,(055) 231 77 67,,
bolkart,6365,Miniso,Digər,0.0,taksit_only,1; 3; 6,,,(050) 505 17 00,,
bolkart,6378,Monsoon,Geyim,0.0,taksit_only,1; 3; 6,,,(050) 275 93 27,https://mybrands.az/women/accessories-bags-1/monsoon-accessorize-1,
bolkart,6387,My Shops,Elektronika,2.0,cashback,1; 3; 6; 12; 18; 24,,,,https://myshops.az/,
bolkart,6393,Narıncı Shop,Parfümeriya və kosmetika,9.0,cashback,1; 3; 6,,,(050) 550 19 93,,
bolkart,6399,Nike,İdman malları,0.0,taksit_only,1,,,(012) 599 19 33,,
bolkart,6403,Note Cosmetics,Parfümeriya və kosmetika,0.0,taksit_only,1,,,(055) 414 03 41,,
bolkart,6408,Nyx,Parfümeriya və kosmetika,2.0,cashback,1; 3; 6,,,(012) 970,,
bolkart,6416,Orxideya,Geyim,0.0,taksit_only,1,,,(050) 850 55 33,,
bolkart,6419,Ovs,Geyim,0.0,taksit_only,1; 3; 6,,,(050) 275 84 73,,
bolkart,6421,Pablosky,Ayaqqabı,0.0,taksit_only,1; 3; 6,,,"(012) 404 88 39, (050) 275 84 66",https://mybrands.az/kids/boy/shoes-1/pablosky-1,
bolkart,6430,Perla Mebel,Mebel,0.0,taksit_only,1; 3; 6; 9; 12; 18,,,(012) 918,https://perla.az/,
bolkart,6431,Perspective,Geyim,0.0,taksit_only,1; 2; 3; 6,,,(070) 770 31 13,,
bolkart,6433,Phardi,Geyim,0.0,taksit_only,1; 3; 6,,,(051) 311 33 32,,
bolkart,6435,Piero Paul,Geyim,0.0,taksit_only,1; 3; 6,,,(012) 555 04 99,,
bolkart,6436,Pink,Saat və aksessuarlar,0.0,taksit_only,1,,,(012) 599 15 12,,
bolkart,6439,Pizza Bruno,Restoran və kafelər,5.0,cashback,1,,,(055) 225 01 92,,
bolkart,6440,Pizza İnn,Restoran və kafelər,5.0,cashback,1,,,*9777,https://pizzainn.az/restaurants/153,
bolkart,6450,Puma,İdman malları,0.0,taksit_only,1; 2; 3; 6,,,(050) 210 96 64,,
bolkart,6453,Ramsey London,Geyim,0.0,taksit_only,1; 3; 6,,,(012) 493 76 24,,
bolkart,6470,Ruby 360,Restoran və kafelər,5.0,cashback,1,,,"(077) 605 25 25 , (099) 615 25 25",https://ruby360.az/,
bolkart,6471,Runex.Az,Digər,3.0,cashback,1,,,(055) 305 08 06,https://runex.az/,
bolkart,6486,Second Cup,Restoran və kafelər,5.0,cashback,1,,,(050) 251 51 80,,
bolkart,6487,Sel Home,Ev aksessuarları,0.0,taksit_only,1,,,(055) 647 82 06,https://www.selhome.az/Bakim.aspx,
bolkart,6495,Shine Accessories,Saat və aksessuarlar,0.0,taksit_only,1,,,(055) 946 76 77,,
bolkart,6497,Siberian Wellness,Aptek və Optika,0.0,taksit_only,1,,,(070) 377 90 08,,
bolkart,6501,Sisley,Geyim,0.0,taksit_only,1; 3; 6,,,(050) 275 93 14,https://mybrands.az/men/clothing-1/sisley-1,
bolkart,6503,Skechers,İdman malları,0.0,taksit_only,1,,,"(012) 599 19 69 , (051) 215 89 12",,
bolkart,6506,Smart Electronics,Elektronika,5.0,cashback,1; 3; 6; 12; 18; 24,,,*2999,https://smartelectronics.az/,
bolkart,6509,Soliton,Elektronika,0.0,taksit_only,1; 6; 12; 18; 24,,,(012) 180,https://www.soliton.az/,
bolkart,6520,Suwen,Geyim,0.0,taksit_only,1; 3; 6,,,,https://mybrands.az/men/clothing-1/united-colors-of-benetton-1,
bolkart,6530,Texnohome,Elektronika,2.0,cashback,1; 2; 3; 6; 12,,,(055) 200 35 02,,
bolkart,6542,Tissot,Saat və aksessuarlar,0.0,taksit_only,1; 3; 6; 12; 18,,,(012) 493 16 96,https://www.vmf.az/,
bolkart,6547,Toppart,"Avtomobil, ehtiyyat hissələri və servis",0.0,taksit_only,1; 3; 6; 9,,,(051) 277 37 50,https://toppart.az/,
bolkart,6572,Villeroy Boch,Ev aksessuarları,0.0,taksit_only,1; 2; 3; 6; 12,,,(012) 510 91 26,https://italdizain.az/en/brands/villeroy-boch,
bolkart,6581,Wentto,Elektronika,5.0,cashback,1; 3; 6; 12; 18,,,(012) 965,https://wentto.az/,
bolkart,6625,ZZ Accessorize,Saat və aksessuarlar,0.0,taksit_only,1; 3; 6,,,(051) 648 72 48,,
bolkart,63,TT silver,Saat və aksessuarlar,0.0,taksit_only,1; 3; 6; 9; 12,,,(077) 559 99 55,,
bolkart,76,Cheers,Restoran və kafelər,5.0,cashback,1,,,(051) 523 67 61,,
bolkart,121,Panda kids,Uşaqlar üçün,0.0,taksit_only,1; 2; 3; 6; 9; 12,,,,,
bolkart,122,Larins,Geyim,0.0,taksit_only,1; 3; 6; 9,,,,,
bolkart,123,Günel ticarət mərkəzi,Geyim,0.0,taksit_only,1; 3; 6,,,,,
bolkart,128,RE-TAŞ İnşaat,Təmir və tikinti,0.0,taksit_only,1; 3; 6; 12; 18,,,,,
bolkart,129,BATA,Ayaqqabı,0.0,taksit_only,1; 2; 3,,,,,
bolkart,5981,020 Avto Star,"Avtomobil, ehtiyyat hissələri və servis",7.0,cashback,1; 3; 6; 12; 18; 24,,,,,
bolkart,5982,22 Century,Tibb və Sağlamlıq,0.0,taksit_only,1; 3; 6,,,"(012) 409 23 27 , (018) 658 01 50",,
bolkart,5983,28 Avto,"Avtomobil, ehtiyyat hissələri və servis",0.0,taksit_only,1; 2; 3,,,,,
bolkart,5984,5 Doors,Restoran və kafelər,5.0,cashback,1,,,(050) 260 40 20,https://5doors.az/,
bolkart,5985,777 İnşaat,Təmir və tikinti,0.0,taksit_only,1,,,(070) 216 04 44,,
bolkart,5986,848 Cars,"Avtomobil, ehtiyyat hissələri və servis",0.0,taksit_only,1; 3; 6,,,,,
bolkart,5987,A4,Dəftərxana,0.0,taksit_only,1,,,(055) 948 80 26,,
bolkart,5988,Abidə İnşaat,Təmir və tikinti,0.0,taksit_only,3; 6; 12,,,(025) 255 15 35,,
bolkart,5990,Aden,Dəftərxana,6.0,cashback,1,,,"(050) 553 14 53 , (012) 498 58 98",https://www.adenkirtasiye.com/,
bolkart,5993,Adres,Geyim,0.0,taksit_only,1; 3; 6,,,"(055) 300 30 60 , (055) 676 00 42",,
bolkart,5994,Af Telecom,Mobil telefon ve aksessuarları,0.0,taksit_only,1,,,(050) 556 56 97,,
bolkart,5995,Axioma,Geyim,0.0,taksit_only,1,,,(055) 594 28 29,,
bolkart,5996,Ailas Group,Mebel,10.0,cashback,1; 3; 6; 12,,,(055) 333 20 80,,
bolkart,5997,Ailemelectronics.Az,İnternet mağaza,0.0,taksit_only,1; 3; 6; 9; 12; 18; 24,,,"(070) 225 35 48, (012) 541 59 92",https://www.ailemelectronics.az/,
bolkart,5998,Ailəm Electronics,Elektronika,3.0,cashback,1; 3; 6; 9; 12; 18; 24,,,"(070) 225 35 48, (012) 541 59 92",https://www.ailemelectronics.az/,
bolkart,5999,Airtrips.Az,Turizm,0.0,taksit_only,3; 6; 12,,,(012) 505 87 47,https://airtrips.az/,
bolkart,6001,Akasiya Parfum,Parfümeriya və kosmetika,0.0,taksit_only,1; 3; 6,,,,,
bolkart,6003,Albano Moda,Ayaqqabı,0.0,taksit_only,1; 3; 6,,,(012) 492 19 53,,
bolkart,6004,Alident,Tibb və Sağlamlıq,5.0,cashback,1; 3; 6,,,(055) 266 65 05,,
bolkart,6007,Ambiance,Ev aksessuarları,0.0,taksit_only,1; 2; 3; 6; 12,,,(012) 498 62 94,,
bolkart,6008,Anadolu,Restoran və kafelər,5.0,cashback,1,,,(012) 498 09 01,,
bolkart,6009,Anka Kids,Uşaqlar üçün,0.0,taksit_only,1; 3; 6,,,,,
bolkart,6010,Area Mebel,Mebel,0.0,taksit_only,1; 6; 12; 18; 24,,,,https://www.soliton.az/,
bolkart,6011,Aria Baku,Ayaqqabı,0.0,taksit_only,1; 3; 6,,,(051) 778 02 77,,
bolkart,6012,Arslan Fitness Mərkəzi,Digər,0.0,taksit_only,1,,,(051) 629 11 11,,
bolkart,6013,As Men,Geyim,0.0,taksit_only,1; 3; 6,,,(055) 271 73 75,,
bolkart,6014,Asim Telecom,Mobil telefon ve aksessuarları,0.0,taksit_only,1; 3; 6,,,(055) 842 88 88,,
bolkart,6016,Asus,Elektronika,0.0,taksit_only,1; 3; 6; 12; 18; 24,,,,,
bolkart,6017,Atelier Rebul,Geyim,0.0,taksit_only,1; 3; 6,,,,https://mybrands.az/men/clothing-1/united-colors-of-benetton-1,
bolkart,6018,Atəşgah Sığorta,Digər,0.0,taksit_only,6,,,"(012) 489 07 38 , (012) 940",https://ateshgah.com/,
bolkart,6019,Auto Life,"Avtomobil, ehtiyyat hissələri və servis",0.0,taksit_only,1; 3; 6,,,(055) 211 88 01,,
bolkart,6020,Auto Service,"Avtomobil, ehtiyyat hissələri və servis",0.0,taksit_only,1; 3; 6,,,(050) 672 21 22,,
bolkart,6021,Avangard Avto,"Avtomobil, ehtiyyat hissələri və servis",0.0,taksit_only,1; 3; 6; 12,,,(055) 351 50 10,,
bolkart,6022,Avirstore,Mobil telefon ve aksessuarları,0.0,taksit_only,1; 3; 6; 12,,,(055) 450 29 91,,
bolkart,6023,Avis,Aptek və Optika,0.0,taksit_only,1,,,"(012) 502 47 17, (051) 302 70 69",https://www.avismed.az/,
bolkart,6024,Avto 444,"Avtomobil, ehtiyyat hissələri və servis",0.0,taksit_only,1; 3; 6,,,(077) 633 34 43,,
bolkart,6025,Avto Baza,"Avtomobil, ehtiyyat hissələri və servis",0.0,taksit_only,1; 3; 6,,,(055) 586 58 36,,
bolkart,6026,Avto Cdi,"Avtomobil, ehtiyyat hissələri və servis",0.0,taksit_only,1; 3; 6; 12,,,(012) 561 04 22,,
bolkart,6027,Avto Ehtiyat,"Avtomobil, ehtiyyat hissələri və servis",0.0,taksit_only,1; 2; 6,,,(055) 441 65 05,,
bolkart,6028,Avto Market,"Avtomobil, ehtiyyat hissələri və servis",0.0,taksit_only,1; 3; 6,,,(070) 395 00 51,,
bolkart,6029,Avto Mir,"Avtomobil, ehtiyyat hissələri və servis",0.0,taksit_only,1; 3; 6; 12,,,"(051) 492 49 86 , (055) 857 99 72",,
bolkart,6030,Avto Shop,"Avtomobil, ehtiyyat hissələri və servis",0.0,taksit_only,1; 3; 6,,,(012) 562 06 90,,
bolkart,6033,Ay Çiçəyim,Güllər və hədiyyələr,0.0,taksit_only,1; 3; 6; 12,,,(055) 754 01 11,,
bolkart,6034,Ay Parfume,Parfümeriya və kosmetika,0.0,taksit_only,1,,,,,
bolkart,6035,Aylin Butik,Uşaqlar üçün,0.0,taksit_only,1,,,(050) 621 51 65,,
bolkart,6036,Azpetrol,Digər,7.0,cashback,1,,,"957, (012) 488 67 57",https://azpetrol.az/,
bolkart,6037,Azroyal,İdman malları,0.0,taksit_only,1; 2; 3; 6; 9; 12,,,,,
bolkart,6038,Azsamand,"Avtomobil, ehtiyyat hissələri və servis",0.0,taksit_only,1; 3; 6; 12,,,(050) 653 11 88,,
bolkart,6039,B&G Store,Uşaqlar üçün,0.0,taksit_only,1; 3; 6,,,(050) 291 21 09,,
bolkart,6041,Bahramoglu,"Avtomobil, ehtiyyat hissələri və servis",0.0,taksit_only,1; 3; 6; 12,,,"(012) 562 20 00 , (050) 562 20 00 , (055) 562 20 00 , (070) 562 20 00",https://www.bahramoglu.az/,
bolkart,6042,Baku Ceramic,Təmir və tikinti,0.0,taksit_only,1,,,(055) 795 97 90,,
bolkart,6043,Baku Depo,Saat və aksessuarlar,0.0,taksit_only,1,,,(012) 441 30 65,,
bolkart,6045,Motoverse,Elektronika,0.0,taksit_only,1; 3; 6; 12; 18; 24,,,(050) 577 77 28,,
bolkart,6046,Baku Notebook,Elektronika,0.0,taksit_only,1; 3; 6; 12; 18; 24,,,(055) 772 27 99,https://www.bakunotebooks.com/,
bolkart,6048,Balf,Geyim,5.0,cashback,1,,,,,
bolkart,6049,Bamboo,Ev aksessuarları,0.0,taksit_only,1; 2; 3,,,(050) 403 55 88,,
bolkart,6050,Barkod Electronics,Elektronika,0.0,taksit_only,1; 3; 6; 12,,,(055) 209 54 47,,
