id,title,cash_back,category,url,image_url,page_scraped
3633,Coffee Bloom Ağ Çiçəyim,7%,Рестораны,https://www.rabitabank.com/castnye-klienty/partnery/coffee-bloom-ag-ciceyim-ru,https://www.rabitabank.com/resized/resize0x100/center/pages/3633/screenshot-2026-01-12-at-103740.png,1
3660,TULIP accessories,5%,Одежда и аксессуары,https://www.rabitabank.com/castnye-klienty/partnery/tupil-accessories-ru,https://www.rabitabank.com/resized/resize0x100/center/pages/3660/img-20260130-wa0014.jpg,1
3659,Paqala Greekfood 2,5%,Рестораны,https://www.rabitabank.com/castnye-klienty/partnery/paqala-greekfood-ru,https://www.rabitabank.com/resized/resize0x100/center/pages/3659/img-20260128-wa0014.jpg,1
3650,İstea Lounge Baku,5%,Рестораны,https://www.rabitabank.com/castnye-klienty/partnery/istea-lounge-baku-ru,https://www.rabitabank.com/resized/resize0x100/center/pages/3650/screenshot-2026-02-03-at-164514.png,1
3649,Le secret perfume,5%,Kрасотa и здоровье,https://www.rabitabank.com/castnye-klienty/partnery/le-secret-perfume-ru,https://www.rabitabank.com/resized/resize0x100/center/pages/3649/screenshot-2026-02-03-at-164020.png,1
3629,X Parfum 1,5%,Kрасотa и здоровье,https://www.rabitabank.com/castnye-klienty/partnery/x-parfum-1-ru,https://www.rabitabank.com/resized/resize0x100/center/pages/3629/img-20251222-wa0014.jpg,1
3628,German Cup,5%,Рестораны,https://www.rabitabank.com/castnye-klienty/partnery/german-cup-ru-3628,https://www.rabitabank.com/resized/resize0x100/center/pages/3627/screenshot-2025-12-29-at-102348.png,1
3623,Nurano Coffee,5%,Рестораны,https://www.rabitabank.com/castnye-klienty/partnery/nurano-coffee-ru,https://www.rabitabank.com/resized/resize0x100/center/pages/3623/nurana.png,1
3615,Biskvitto.az,5%,Рестораны,https://www.rabitabank.com/castnye-klienty/partnery/biskvittoaz-ru,https://www.rabitabank.com/resized/resize0x100/center/pages/3615/biskvitto-logos-page-0001.jpg,1
3611,Picasso Coffee & Art,5%,Рестораны,https://www.rabitabank.com/castnye-klienty/partnery/picasso-coffee-art-ru,https://www.rabitabank.com/resized/resize0x100/center/pages/3611/picasso.png,1
3606,Caffetto,2%,Рестораны,https://www.rabitabank.com/castnye-klienty/partnery/caffetto-ru,https://www.rabitabank.com/resized/resize0x100/center/pages/3606/img-20251126-wa0052.jpg,1
3605,Kahve Dükkanı Azerbaijan,2%,Рестораны,https://www.rabitabank.com/castnye-klienty/partnery/kahve-dukkan-azerbaijan-ru,https://www.rabitabank.com/resized/resize0x100/center/pages/3605/screenshot-2025-11-27-at-172329.png,1
3604,XG Café (Book-Coffee-Meetup),2%,Рестораны,https://www.rabitabank.com/castnye-klienty/partnery/xg-cafe-ru,https://www.rabitabank.com/resized/resize0x100/center/pages/3604/xg-logo-3ai.png,1
3601,Dortini Sweet House,2%,Рестораны,https://www.rabitabank.com/castnye-klienty/partnery/dortini-sweet-house-ru,https://www.rabitabank.com/resized/resize0x100/center/pages/3601/img-20251107-wa0011.jpg,1
3598,CAFFECINO,2%,Рестораны,https://www.rabitabank.com/castnye-klienty/partnery/caffecino-ru,https://www.rabitabank.com/resized/resize0x100/center/pages/3598/screenshot-2025-11-27-at-164934.png,1
3562,Balique.az,5%,Покупка,https://www.rabitabank.com/castnye-klienty/partnery/balique-ru,https://www.rabitabank.com/resized/resize0x100/center/pages/3562/logo-1-0.png,1
3562,Balique.az,5%,Покупка,https://www.rabitabank.com/castnye-klienty/partnery/balique-ru,https://www.rabitabank.com/resized/resize0x100/center/pages/3562/logo-1-0.png,2
2538,Boss Restaurant and Lounge,5%,Рестораны,https://www.rabitabank.com/castnye-klienty/partnery/boss-restaurant-and-lounge3,https://www.rabitabank.com/resized/resize0x100/center/pages/2538/logo-boss.jpg,2
1730,Dünyagöz klinikası,5%,Клиники,https://www.rabitabank.com/castnye-klienty/partnery/dunyagoz-klinikasi-3,https://www.rabitabank.com/resized/resize0x100/center/pages/1730/56c0b96b03d85d157fdb3fc306ed46c8.jpg,2
1555,Günaydın Restoranı,5%,Рестораны,https://www.rabitabank.com/castnye-klienty/partnery/gunaydin-restorani-3,https://www.rabitabank.com/resized/resize0x100/center/pages/1555/gunaydinn.png,2
3645,Light Coffee,3%,Рестораны,https://www.rabitabank.com/castnye-klienty/partnery/light-coffee-ru,https://www.rabitabank.com/resized/resize0x100/center/pages/3645/screenshot-2026-02-03-at-161943.png,2
3630,The Fit,3%,Kрасотa и здоровье,https://www.rabitabank.com/castnye-klienty/partnery/the-fit-ru,https://www.rabitabank.com/resized/resize0x100/center/pages/3630/screenshot-2025-12-29-at-104539.png,2
3625,Sushi Home Az,3%,Рестораны,https://www.rabitabank.com/castnye-klienty/partnery/sushi-home-az-ru,https://www.rabitabank.com/resized/resize0x100/center/pages/3625/img-20251212-wa0008.jpg,2
3622,Biskvitto.az-3622,3%,Подарки,https://www.rabitabank.com/castnye-klienty/partnery/narina-flowers-shop-ru,https://www.rabitabank.com/resized/resize0x100/center/pages/3622/narina.jpg,2
3610,Ratatouille Baku,3%,Рестораны,https://www.rabitabank.com/castnye-klienty/partnery/ratatouille-baku-ru,https://www.rabitabank.com/resized/resize0x100/center/pages/3610/ratatouille.png,2
1847,189 taxi,3%,Tакси,https://www.rabitabank.com/castnye-klienty/partnery/189-taxi-3,https://www.rabitabank.com/resized/resize0x100/center/pages/1847/189.png,2
1760,Lavazza,3%,Рестораны,https://www.rabitabank.com/castnye-klienty/partnery/lavazza-3,https://www.rabitabank.com/resized/resize0x100/center/pages/1760/lavazza.png,2
3648,Cinema Clab Acedemy,2%,Развлечения,https://www.rabitabank.com/castnye-klienty/partnery/cinema-clab-academy-ru,https://www.rabitabank.com/resized/resize0x100/center/pages/3647/img-20260115-wa0013.jpg,2
3647,PEN1ONE AZƏRBAYCAN,2%,Автосервис,https://www.rabitabank.com/castnye-klienty/partnery/pen1one-azerbaycan-ru,https://www.rabitabank.com/resized/resize0x100/center/pages/3647/screenshot-2026-02-03-at-163035.png,2
3646,Bona Coffee,2%,Рестораны,https://www.rabitabank.com/castnye-klienty/partnery/bona-coffee-ru,https://www.rabitabank.com/resized/resize0x100/center/pages/3646/screenshot-2026-02-03-at-162319.png,2
3634,Onurğa Mərkəzi,2%,Клиники,https://www.rabitabank.com/castnye-klienty/partnery/onurga-merkezi-ru,https://www.rabitabank.com/resized/resize0x100/center/pages/3634/img-2801.jpg,2
