id,name,category,category_id,cashback_percent,taksit_months,detail_url,image_url
1756,World Telecom,Texnika və Kompüterlər,168,,"3, 6, 12, 18, 24",https://unibank.az/az/cards/partner/1756,https://unibank.az/uploads/items/4964-wt.png
1638,İRŞAD,Texnika və Kompüterlər,168,,"3, 6, 12, 18, 24",https://unibank.az/az/cards/partner/1638,https://unibank.az/uploads/items/imp-3Zcn6NEW5JJNU4DGn4cpuhEE5ZnPsY.png
1666,Tommy Hilfiger,Geyim,165,,"3, 6",https://unibank.az/az/cards/partner/1666,https://unibank.az/uploads/items/8059-tommy.png
1732,Baku Electronics,Texnika və Kompüterlər,168,,"3, 6, 12, 18, 24",https://unibank.az/az/cards/partner/1732,https://unibank.az/uploads/items/6790-Baku-electronics-logo.png
1522,Accessorize,Aksesuarlar,166,,"3, 6",https://unibank.az/az/cards/partner/1522,https://unibank.az/uploads/items/3377-Accessorize.png
1523,Adidas,İdman və Sağlamlıq,185,,"3, 6",https://unibank.az/az/cards/partner/1523,https://unibank.az/uploads/items/452-adidas.png
1534,Beatrice,Kosmetika,173,,"1, 3, 6",https://unibank.az/az/cards/partner/1534,https://unibank.az/uploads/items/9809-beatrice.png
1542,Camel Active,Ayaqqabı mağazaları,170,,"3, 6",https://unibank.az/az/cards/partner/1542,https://unibank.az/uploads/items/6469-IMG_0919.PNG
1544,UNİSA,Ayaqqabı mağazaları,170,,3,https://unibank.az/az/cards/partner/1544,https://unibank.az/uploads/items/5026-unisa.png
1554,Faik Sonmez,Geyim,165,,"3, 6",https://unibank.az/az/cards/partner/1554,https://unibank.az/uploads/items/8411-faiksonmez.png
1556,Geox,Ayaqqabı mağazaları,170,,"3, 6",https://unibank.az/az/cards/partner/1556,https://unibank.az/uploads/items/2767-geox.png
1569,Kontakt Home,Texnika və Kompüterlər,168,,"3, 6, 12, 18, 24",https://unibank.az/az/cards/partner/1569,https://unibank.az/uploads/items/1294-kontakt.png
1570,La Parfumerie,Kosmetika,173,,"3, 6",https://unibank.az/az/cards/partner/1570,https://unibank.az/uploads/items/6503-laparfumerie.png
1574,LC Waikiki,Uşaq üçün,174,,3,https://unibank.az/az/cards/partner/1574,https://unibank.az/uploads/items/8735-lcw.png
1593,Pablosky,Uşaq üçün,174,,"3, 6",https://unibank.az/az/cards/partner/1593,https://unibank.az/uploads/items/3329-Logo Pablosky vertical.png
1595,Penti,Geyim,165,,3,https://unibank.az/az/cards/partner/1595,https://unibank.az/uploads/items/702-penti.png
1601,Radius Təkər Mərkəzi,Avto,181,,"3, 6, 12",https://unibank.az/az/cards/partner/1601,https://unibank.az/uploads/items/603-radius.png
1603,Raymond Weil,Saat,177,,"1, 3, 6",https://unibank.az/az/cards/partner/1603,https://unibank.az/uploads/items/5485-raymondweil.png
1606,Sabina,Parfümeriya,172,,"3, 6, 12",https://unibank.az/az/cards/partner/1606,https://unibank.az/uploads/items/5211-sabina logo.png
1612,Sisley,Geyim,165,,"3, 6",https://unibank.az/az/cards/partner/1612,https://unibank.az/uploads/items/5693-sisley.png
1614,Skandinaviya Evi,Digər,167,,"3, 6",https://unibank.az/az/cards/partner/1614,https://unibank.az/uploads/items/imp-BCPPdXwQuQkh48M3TWSvXJNkYkP4aT.jpg
1620,Swarovski,Aksesuarlar,166,,"3, 6",https://unibank.az/az/cards/partner/1620,https://unibank.az/uploads/items/1734-swarovski.png
1621,Swatch,Saat,177,,"1, 3, 6",https://unibank.az/az/cards/partner/1621,https://unibank.az/uploads/items/1083-swatch.png
1623,TISSOT,Saat,177,,"1, 3, 6",https://unibank.az/az/cards/partner/1623,https://unibank.az/uploads/items/imp-4meQrZAZx5KgDPv4R3DUFm79VWQMD8.jpg
1626,United Colors of Benetton,Geyim,165,,"3, 6",https://unibank.az/az/cards/partner/1626,https://unibank.az/uploads/items/5381-United-Colors-of-Benetton-Logo-1989.png
1627,VMF,Saat,177,,"1, 3, 6, 12, 18",https://unibank.az/az/cards/partner/1627,https://unibank.az/uploads/items/5495-logo-vmf.png
1630,Villa Pizza,Restoran,175,,1,https://unibank.az/az/cards/partner/1630,https://unibank.az/uploads/items/imp-tsqNHwuB4cs2YXPDaBpv5E54CtcAGb.jpg
1646,FLO,Ayaqqabı mağazaları,170,,"3, 6",https://unibank.az/az/cards/partner/1646,https://unibank.az/uploads/items/imp-jFKg25dTacfsy7MsuPJE2M74mwjqZn.jpg
1662,FOOTMARK,İdman və Sağlamlıq,185,,3,https://unibank.az/az/cards/partner/1662,https://unibank.az/uploads/items/6007-Main_Logo_RedBirch.png
1663,Go Sport,İdman və Sağlamlıq,185,,3,https://unibank.az/az/cards/partner/1663,https://unibank.az/uploads/items/9448-GoSport_Logo.PNG
1665,OVS,Geyim,165,,"3, 6",https://unibank.az/az/cards/partner/1665,https://unibank.az/uploads/items/imp-UHMB24jGq8svztvFG4JkFxDP4hEfwm.jpg
1669,Xtravaganza,Aksesuarlar,166,,"3, 6",https://unibank.az/az/cards/partner/1669,https://unibank.az/uploads/items/3203-logo-xtravaganza.jpg
1670,Villeroy & Boch,Digər,167,,"3, 6, 12",https://unibank.az/az/cards/partner/1670,https://unibank.az/uploads/items/4369-villeroy.png
1675,Bang Olufsen,Texnika və Kompüterlər,168,,"6, 12",https://unibank.az/az/cards/partner/1675,https://unibank.az/uploads/items/1619-bang olufsen logo.png
1684,Şassi,Avto,181,,"2, 3, 6, 12, 18",https://unibank.az/az/cards/partner/1684,https://unibank.az/uploads/items/7610-ff6b623a-a091-4c9b-892f-2a459f158902.jpg
1685,Bakinity,Texnika və Kompüterlər,168,,"3, 6, 12",https://unibank.az/az/cards/partner/1685,https://unibank.az/uploads/items/imp-65WnKXg9tV6pjE4TWP3pmp5z8PQDA4.png
1686,KIP,Kişi geyimləri,186,,"3, 6",https://unibank.az/az/cards/partner/1686,https://unibank.az/uploads/items/imp-tvBwDTDGRRDA7KWmPjJzFTmBvu9DDB.jpg
1692,Orion,Digər,167,,"3, 6, 12",https://unibank.az/az/cards/partner/1692,https://unibank.az/uploads/items/imp-mYgAfkRtPFJ2uDrGqfAsu8MZ9MzqQ4.jpg
1693,Əlincə İdman Kompleksi,İstirahət və Əyləncə,182,,"1, 3",https://unibank.az/az/cards/partner/1693,https://unibank.az/uploads/items/noImageGifts.png
1694,My Beach,İstirahət və Əyləncə,182,,"1, 3",https://unibank.az/az/cards/partner/1694,https://unibank.az/uploads/items/noImageGifts.png
1700,Yves Delorme,Digər,167,,"3, 6",https://unibank.az/az/cards/partner/1700,https://unibank.az/uploads/items/imp-NMy4AbRvVxYcwuqYvhJNZ6xpQsYnQ6.jpg
1706,Ambiance,Digər,167,,6,https://unibank.az/az/cards/partner/1706,https://unibank.az/uploads/items/noImageGifts.png
1730,Gerry Weber,Geyim,165,,"3, 6",https://unibank.az/az/cards/partner/1730,https://unibank.az/uploads/items/noImageGifts.png
