id,title,cashback_percent,category,category_id,region,region_id,address,phone,website,image_url,body_html
1975,Maestro School,5,Təhsil və kitab mağazaları,1654,Bakı,1644,"Mərkəzi Bulvar küç., 4, Bakı, Azərbaycan",+994513002233,https://www.instagram.com/maestroschool.az/,https://api.xalqbank.az/resized/fit52x52/center/temp/processing/maestro-90x90.jpg,"<p>Mərkəzi Bulvar küç., 4, Bakı, Azərbaycan</p> <p>Tel: +994513002233</p> <p><a href=""https://www.instagram.com/maestroschool.az/"">Ətraflı burada</a></p>"
244,Concept Anti Cafe,40,Kafe və restoran,1650,Bakı,1644,Concept Bohem:İstiqlaliyyət küç.41,+994518323113,https://www.instagram.com/conceptbaku/,https://api.xalqbank.az/resized/fit52x52/center/pages/244/concept-logo.jpg,"<p>Concept Bohem:İstiqlaliyyət küç.41</p> <p>Concept Vintage: Qoqol küç.28</p> <p>Concept Estet: Rəsul Rza küç.15</p> <p>Concept Cozy: C.Cabbarlı küç.18</p> <p>Tel: +994518323113</p> <p><a href=""https://www.instagram.com/conceptbaku/""><span><span><span>Ətraflı burada</span></span></span></a></p>"
246,TWINSET,7,Geyim və aksesuarlar,1649,Bakı,1644,"Port Baku Mall, 2-ci mərtəbə",+994554505613,https://instagram.com/twinset.azerbaijan?igshid=YmMyMTA2M2Y=,https://api.xalqbank.az/resized/fit52x52/center/pages/246/twinset.jpg,"<p>Port Baku Mall, 2-ci mərtəbə</p> <p>Tel: +994554505613</p> <p><a href=""https://instagram.com/twinset.azerbaijan?igshid=YmMyMTA2M2Y="">Ətrafli burada</a></p>"
248,B&G Store,7,Geyim və aksesuarlar,1649,Bakı,1644,"Bakı şəh., Səbail ray., Neftçilər prospekti 26a, Dəniz Mall",+994502912109,https://www.instagram.com/bgstoreazerbaijan/,https://api.xalqbank.az/resized/fit52x52/center/pages/248/b-g.jpg,"<p>Bakı şəh., Səbail ray., Neftçilər prospekti 26a, Dəniz Mall</p> <p>Tel: +994502912109</p> <p><a href=""https://www.instagram.com/bgstoreazerbaijan/""><span><span><span>Ətraflı burada</span></span></span></a></p>"
243,Tudors,10,Geyim və aksesuarlar,1649,,,www.tudors.az,+994502243550,https://instagram.com/tudors.azerbaijan?igshid=YmMyMTA2M2Y=,https://api.xalqbank.az/resized/fit52x52/center/pages/243/tudors.jpg,"<p>www.tudors.az</p> <p>M.Rəsulzadə küç.8</p> <p>Tel: +994502243550</p> <p><a href=""https://instagram.com/tudors.azerbaijan?igshid=YmMyMTA2M2Y="">Ətrafli burada</a></p>"
250,AZIZI Coffee & Mocktail,5,Kofe,1664,Bakı,1644,"Bakı şəh., Yasamal ray., İnşaatçılar prospekti 5",+994776338868,https://www.instagram.com/azizicoffeemocktail/,https://api.xalqbank.az/resized/fit52x52/center/pages/250/azizi.png,"<p>Bakı şəh., Yasamal ray., İnşaatçılar prospekti 5</p> <p>Tel: +994776338868</p> <p><a href=""https://www.instagram.com/azizicoffeemocktail/""><span><span><span>Ətraflı burada</span></span></span></a></p>"
251,Panda Bubble Tea,10,Kafe və restoran,1650,Bakı,1644,"Bakı şəh.,Hacı Zeynalabdin Tağıyev küç 16,",+994776124232,https://www.instagram.com/pandabubbletea_baku/,https://api.xalqbank.az/resized/fit52x52/center/pages/251/pbt-logo-01.jpg,"<p>Bakı şəh.,Hacı Zeynalabdin Tağıyev küç 16,</p> <p>Tel: +994776124232</p> <p><a href=""https://www.instagram.com/pandabubbletea_baku/""><span><span><span>Ətraflı burada</span></span></span></a></p>"
1318,Caribbean Pub & Restaurant,10,Kafe və restoran,1650,Bakı,1644,"Bakı şəh., Məmməd Əfəndiyev küç.,7",+994708808512,https://www.instagram.com/caribbeanpub_restaurant/,https://api.xalqbank.az/resized/fit52x52/center/temp/processing/carib-346x346px.png,"<p>Bakı şəh., Məmməd Əfəndiyev küç.,7</p> <p>Tel: +994708808512</p> <p><a href=""https://www.instagram.com/caribbeanpub_restaurant/"">Ətraflı burada</a></p>"
1420,Morex kargo,5,Çatdırılma xidməti,1656,Bakı,1644,Nəsimi rayonu Nizami küçəsi 184F (Çin səfirliyinin arxası)&nbsp;,+994123108788,https://www.instagram.com/morex.az/,https://api.xalqbank.az/resized/fit52x52/center/temp/processing/morex-0.jpg,"<p>Nəsimi rayonu Nizami küçəsi 184F (Çin səfirliyinin arxası)&nbsp;</p> <p>Tel:+994123108788</p> <p><a href=""https://www.instagram.com/morex.az/"">Ətraflı burada</a></p>"
1435,Dolce Vita Mevi,5,Qida və içkilər,1659,Bakı,1644,"Bakı şəh., Xaqani küçəsi 22",0124800624; 0703288828,https://www.instagram.com/dolcevita.az/?hl=en,https://api.xalqbank.az/resized/fit52x52/center/temp/processing/dolce-vita.jpg,"<p>Bakı şəh., Xaqani küçəsi 22</p> <p>Tel: 0124800624<br /> 0703288828</p> <p><a href=""https://www.instagram.com/dolcevita.az/?hl=en"">Ətraflı burada</a></p>"
